               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.056629,            0.016504,            0.030849,             0.33252,              0.8438,              0.5997,            0.084529,            0.034522,           0.0094838,            0.022282,           0.0018509,           0.0018509,            0.082751
                  64,            0.050229,            0.014748,             0.03119,             0.45907,             0.79439,              0.7063,             0.26372,            0.030149,           0.0095337,            0.022297,           0.0018781,           0.0018781,            0.082478
                  65,            0.057182,            0.016272,            0.029926,             0.23575,               0.975,              0.3182,             0.07497,            0.035196,           0.0096056,            0.022173,           0.0019052,           0.0019052,            0.082205
                  66,            0.052722,            0.017316,            0.030564,             0.48025,             0.71984,             0.69796,             0.24436,            0.030863,           0.0095145,            0.022002,           0.0019322,           0.0019322,            0.081932
                  67,            0.057185,            0.019353,            0.030491,             0.18897,             0.94527,             0.23084,            0.098787,            0.038478,           0.0093369,            0.022006,           0.0019591,           0.0019591,            0.081659
                  68,             0.05972,            0.015749,             0.03111,             0.52601,                 0.7,             0.70276,             0.26296,            0.027312,           0.0097033,            0.022065,           0.0019859,           0.0019859,            0.081386
                  69,            0.050084,            0.014265,            0.029654,             0.37134,               0.775,             0.56359,             0.12061,            0.039549,           0.0090952,             0.02197,           0.0020127,           0.0020127,            0.081113
                  70,            0.064542,            0.016187,            0.031217,              0.6571,             0.69959,             0.77052,             0.42598,            0.033086,           0.0091682,            0.021813,           0.0020393,           0.0020393,            0.080839
                  71,            0.052894,            0.015283,            0.029851,             0.49472,               0.575,             0.47968,             0.15291,            0.038031,           0.0087394,            0.021778,           0.0020658,           0.0020658,            0.080566
                  72,            0.055844,            0.015471,            0.031196,             0.46644,             0.54828,             0.51726,             0.18831,            0.036226,           0.0086705,            0.021781,           0.0020923,           0.0020923,            0.080292
                  73,            0.053887,             0.01532,            0.029559,             0.58591,             0.49949,             0.52648,             0.22348,            0.043023,           0.0084739,            0.021484,           0.0021186,           0.0021186,            0.080019
                  74,            0.056431,            0.019043,            0.030928,             0.62223,             0.72088,             0.73587,              0.2958,            0.030126,           0.0093176,            0.021418,           0.0021449,           0.0021449,            0.079745
                  75,            0.053755,            0.015636,            0.029023,              0.5199,             0.74981,             0.64073,             0.38241,            0.034704,           0.0092661,            0.021634,            0.002171,            0.002171,            0.079471
                  76,            0.054518,            0.015466,            0.030473,             0.63909,             0.72195,             0.76104,             0.55567,             0.02366,           0.0096121,             0.02158,           0.0021971,           0.0021971,            0.079197
                  77,            0.045094,            0.015249,            0.029596,             0.46165,               0.725,             0.58535,             0.20774,            0.035151,           0.0090873,            0.021334,            0.002223,            0.002223,            0.078923
                  78,            0.053834,            0.013883,            0.028911,             0.57475,                0.75,             0.69166,              0.3996,            0.030602,           0.0090611,            0.021571,           0.0022489,           0.0022489,            0.078649
                  79,            0.053522,            0.014988,            0.028464,             0.65103,             0.59797,             0.63802,             0.20365,            0.035855,           0.0085488,            0.021564,           0.0022746,           0.0022746,            0.078375
                  80,            0.052717,            0.013797,              0.0293,             0.57818,               0.725,             0.70407,             0.28481,            0.027127,           0.0092119,            0.021675,           0.0023003,           0.0023003,              0.0781
                  81,            0.050299,            0.016356,            0.028097,             0.57467,                0.65,             0.70112,             0.17681,            0.032908,           0.0087523,            0.021517,           0.0023258,           0.0023258,            0.077826
                  82,            0.044497,             0.01573,            0.027946,             0.64034,                0.65,             0.73892,             0.31845,            0.028241,           0.0087876,            0.021104,           0.0023512,           0.0023512,            0.077551
                  83,            0.053647,            0.015493,            0.028223,             0.44927,             0.71936,             0.66452,             0.21371,            0.032932,            0.008632,            0.021096,           0.0023765,           0.0023765,            0.077277
                  84,            0.054393,            0.014271,            0.028412,             0.71278,                0.75,             0.82167,             0.41178,            0.028534,           0.0087718,            0.020799,           0.0024017,           0.0024017,            0.077002
                  85,            0.052094,            0.014074,            0.027687,             0.58271,             0.62282,             0.65525,             0.12477,            0.035031,           0.0082586,            0.020606,           0.0024268,           0.0024268,            0.076727
                  86,             0.05178,            0.014192,            0.028186,             0.59402,             0.76808,             0.72754,             0.26523,            0.026106,           0.0086482,            0.020421,           0.0024518,           0.0024518,            0.076452
                  87,            0.046106,              0.0153,            0.026635,             0.62155,                0.85,             0.81666,             0.41745,            0.028366,           0.0084629,            0.020429,           0.0024767,           0.0024767,            0.076177
